ID,Date,Aquirer,Aquired,Heading,Text
11,07-Oct-15,Apple,Siri,Apple Looks to Be Further Beefing Up Siri -- Market Talk," Apple (AAPL) snatched up another startup this week in what appears to be part of a push to beefup virtual assistant Siri, which sometimes struggles to understand users. This time it's secretive artificial-intelligence company Perceptio, a deal which comes on the heels of AAPL's acquisition Friday ofUK-based software maker VocalIQ, which is working with GM to develop a voice-navigation system. ""Apple buys smaller technology companies from time to time, and we generally do not discuss our purpose or plans,""says a spokesman via email, declining to provide further details. Other smaller AAPL deals of late have included mapping startup Mapsense and GPS startup Navigation Inc., moves to try to make Apple Maps more competitive.  Johnson Controls (JCI) CEO Alex Molinaroli's latest move is a potential acquisition of battery maker EnerSys (ENS) the WSJ reports today. Molinaroli has vastly reshaped the industrial company since taking the helm in 2013, selling the company's auto-electronics unit and moving the interiors business into a joint venture controlled by China's Yanfeng. The company is moving away from lower-margin business and into higher-margin categories. ENE shares up 11% to $65.54 before halting. JCI up 1.7% to $43.76.  A potential compact sport-utility to be built on the same platform as the Model 3 will be called the Model Y, Tesla (TSLA) CEO Elon Musk tweets to a Twitter follower who asked about the possibility of falcon-wing doors. ""There will be a Model 3 and a Model Y. One of the two will."" He quickly deleted the tweet, but it was captured by Tech Insider before it went away. Musk has said there would be a sport-utility variant of the Model 3 and possibly a wagon. But the name of the vehicle is new. Of interest is TSLA's vehicle lineup would spell S-3-X-Y. Musk originally anted to name the Model 3 the Model E, but Ford (F) threatened legal action for trademark reasons. He said he wanted the lineup to spell S-E-X.  Lions Gate Entertainment has begun accepting bitcoin as payment in its online store, in an apparent bid to show that a Hollywood studio can do business on the cutting edge. Consumers will be able to use bitcoin to buy DVDs and Blu-ray discs online from the studio best known for ""The Hunger Games,""Divergent,"" and ""Orange is the New Black."" In a statement, the Santa Monica, Calif. company said it is exploring other ways to integrate bitcoin payments into its business. Lions Gate is working with digital payments processor GoCoin to handle bitcoin payments."
12,30-May-17,Cisco,MindMeld inc.,Cisco Closes USD 125m Acquisition of Artificial Intelligence Firm MindMeld,"US-based technology company Cisco (NASDAQ: CSCO) has completed the acquisition of US-based artificial intelligence firm MindMeld Inc., the company said. Cisco acquired MindMeld for USD 125m in cash and assumed equity awards. MindMeld has developed an AI platform that enables customers to build intelligent and human-like conversational interfaces for any application or device.Through its proprietary machine learning technology, MindMeld delivers high levels of accuracy to help users interact with voice and chat assistants in a more natural way.Cisco said that, as chat and voice quickly become the interfaces of choice, MindMeld's AI technology will enable it to deliver unique experiences throughout its portfolio, starting with collaboration.This acquisition will power new conversational interfaces for Cisco's collaboration products, revolutionising how users will interact with our technology, increasing ease of use, and enabling new cognitive capabilities.The MindMeld team joins the Cloud Collaboration group under a leadership of Jens Meggers, senior vice president and general manager, as the Cognitive Collaboration team"
13,06-May-19,ConversionPoint,Inuvo inc.,"ConversionPoint AI-Driven Buy, IPO Moving Ahead","This week promises to be a busy one for ConversionPoint Holdings Inc., in its bid to be Orange County's first company to go public this year.The Newport Beach-based e-commerce advertising services provider is looking to buy Inuvo Inc., a LittleRock, Ark.-based artificial intelligence company whose software is used by clients for their business-to-business and business-to-consumer marketing efforts.Inuvo (NYSE: INUV) is a publicly traded firm with a market value of about $48 million as of last week.ConversionPoint announced plans last November to acquire the public company and combine the two firms' technology platforms under a new corporate umbrella, in a $75.5 million stock-and-debt deal that would be financed in large part through an initial public offering, whose plans have been in the works for nearly six months. Updated IPO plans were filed with the Securities and Exchange Commission last week. ConversionPoint aims to raise around $45 million, with 6.1 million shares offered between $6 and $7 each.Such a deal would value the company at nearly $ 190 million.About $23 million in proceeds from the offering would pay the cash portion of the Inuvo deal, with the remainder largely going to pay down debt.Inuvo's stock would stop trading if the deal with ConversionPoint is completed, and the combined company would be based in Newport Center, where Conversion Point employs about 85 people.The company would remain led by Chief Executive Robert Tallack.The company's based in the Pacific Financial Plaza office complex that also holds the headquarters of virtual reality broadcasting firm NextVR Inc., local offices of law firm Irell & Manella LLP and others. Inuvo shareholders are scheduled to vote on the impending sale to ConversionPoint on May 8-they'd own alittle under 30% of the combined company's stock-and the IPO is expected to be finalized shortly after that. ConversionPoint plans to list its shares on the Nasdaq Capital Market under the symbol CPTI.The offering is being underwritten by Op-penheimer & Co., GMP Securities and D.A. Davidson & Co., while the Irvine offices of Troutman Sanders LLP are handling much of the legal work for the IPO.Al, SaaS The marriage between Conversion-Point and Inuvo hinges on the promise of computers simulating intelligent behavior. Specifically, leveraging artificial intelligence to boost online retail sales, and glean the shopping habits and characteristics of hundreds of millions of consumers. ConversionPoint plans to leverage Inuvo's technology to expand into higher margin offerings, such as software and managed services, while moving away from its legacy e-commerce business. Its mission is to provide a ""data driven"" Al-powered e-commerce platform for small- and mid-sized businesses, the company stated in regulatory filings. Both companies are coming off of down years, marked by falling sales and rising losses. Inuvo, which was established in 1999, saw revenue decline 7.8% to $73.3 million in 2018. The company attributed the decline to cutting ""non-strategic technologies including a proprietary marketing platform."" The revenue decrease, according to the company, led to a $5.9 million net loss in 2018, compared to a loss of about $3 million the prior year. Inuvo revenue is highly concentrated and reliant upon Yahoo, Google and Microsoft Online. The three giant service providers last year accounted for nearly 87% of sales, with Yahoo alone driving more than 71 % of revenue, according to the filing. ConversionPoint, launched in 2015 in Irvine, reported revenue of nearly $40 million last year, down 20%. It works with firms including Walmart, Lowe's, Costco and Office Depot and other major online retailers, which integrate the company's JavaScript tags on their online retail store web pages, allowing Conversion-Point's brand customers to ""directly publish interactive experiences and product information to such retail websites."" The company in the second quarter last year shifted its focus from e-commerce product sales-a segment dominated by Amazon.com-to further develop and expand managed services and its software as a service, or SaaS, business. The moves slashed revenue from its e-commerce business 51% to $20.3 million, while cutting product
offerings from nine to four. Its e-commerce products primarily are sold through trial offers, in which consumers must opt out of monthly billed subscriptions. The pivot, combined with increased operating expenses, drove a loss of $33.2 million last year, compared to net income of $400,000 in 2017. On a positive note, revenue from managed services doubled to $16 million, while SaaS revenue climbed more than 1,000% to $3.5 million, largely as a result of its $17.2 million buy of Sellpoints Inc. in late 2017. Growth Plans The combined company will have revenue of about $113 million and 145 employees once the merger is completed. Managed services will account for nearly 80% of revenue, followed by e-commerce, 18%, and SaaS, 3%. ConversionPoint wants to boost SaaS sales to 60% of annual revenue, and eventually eliminate its
e-commerce line completely. It coveted Inuvo's high-margin AI-powered IntentKey product, which it plans to upsell to customers. The technology is used by Fortune 500 companies to help attract consumers to specific landing pages or to take action. The software stores and updates more than 500 million, anonymous consumer profiles, and processes 20 billion ads per day, identifying some 24 million concepts, such as objects, ideas, emotions and places. Inuvo technology pushes a billion marketing messages to consumers every month. ""This creates an increasingly large market opportunity for data driven e-commerce solutions to assist brands and retailers,"" ConversionPoint said in the IPO filing. Global e-commerce sales hit $2.9 trillion last year, according to e-Marketer.com, with sales pegged to grow between $70 and $80 billion this year."
14,07-Nov-16,FRONTEO,"Essential Discovery, Inc.","FRONTEO Acquires Essential Discovery, Inc.","FRONTEO USA, Inc. (""FRONTEO USA""), a wholly-owned direct subsidiary of FRONTEO, Inc. (""FRONTEO"") (formerly known as UBIC, Inc.)(NASDAQ:FTEO) (TSE:2158), a leading provider of global eDiscovery, managed review solutions and bigdata analysis services utilizing artificial intelligence technology, today announced the acquisition of managed review provider Essential Discovery, Inc. (""EDI"").EDI is a boutique discovery firm with specialization in document review with Fortune 250 corporations andAM Law 100 clients across the United States. With review centers in San Francisco and Las Vegas, along with pop-up capabilities across the country and internationally, EDI is a strategic fit into the expansive network that FRONTEO already has in place.""Continued growing demand for efficient, reliable and cost effective review services in primary and secondary locations enables FRONTEO and EDI to offer clients improved engagement, better project management and streamlined processes,"" says Aaron Fluss, National Managing Director at EDI. ""This will help us to mitigate case risk, drive increased value to law firms and corporations, and standardize review processes based on industry-best methodologies.""EDI's proven ability in the national market demonstrates its ability to focus on client engagement, pre-review analysis and data reduction, as well as the review of documents, and provides deep know-how in the following areas:-- Clients Come First -- EDI operates in a ""client-first"" manner where the customer is the top priority-- Proprietary Review Process -- The ""Advanced Review Team"" provides a results-oriented proprietary process for efficient, reliable, cost-effective review-- Client Project Managers -- Drives continuity of service and project analysis via productivity reporting-- Elite Review Team -- Deep bench strength for review projects leveraging highly skilled and long-tenured attorneys, who also leverage culling techniques through early case assessment to reduce data sets-- Value-Add Service -- Ability to provide additional services such as witness narratives for deposition preparation, case memorandums, and privilege log production for matters ""We expect a very smooth and fast transition of EDI resources and processes into FRONTEO,"" says AndyJimenez, CEO of FRONTEO USA, Inc. ""Maintaining our focus on top and bottom-line growth is an important aspect of this acquisition, and our ability to quickly streamline operations and post-merger integration tasks for very rapid time-to-market is key. We look forward to joining forces."" The combination of FRONTEO and EDI will now give the market access to an additional 150 review seats for a total of approximately 1,300 permanent seats for review projects across the U.S., in both primary and secondary markets. There are also additional seats available at FRONTEO review centers internationally for cross-border projects. All EDI staff along with its extensive roster of contract attorneys, project managers, quality controllers, and review staff will be integrated under the FRONTEO brand. Essential Discovery, Inc. was advised by Bundy Group, a boutique investment bank, in the sale to FRONTEO."
15,21-Aug-19,Hewlett Packard Enterprise,MapR,Hewlett Packard Enterprise; Hewlett Packard Enterprise Advances its Intelligent Data Platform withAcquisition of MapR's Business Assets,"Hewlett Packard Enterprise (NYSE: HPE) announced it has acquired the business assets of MapR, a leading data platform for artificial intelligence and analytics applications powered by scale-out, multi-cloud and multi-protocol file system technology. This transaction includes MapR's technology, intellectual property, and domain expertise in artificial intelligence and machine learning (AI/ML) and analytics data management. HPE welcomes MapR customers and partners and plans to support existing deployments along with ongoing renewals.""The explosion of data is creating a new era of intelligence where the winners will be the ones who harnessthe power of data, wherever it lives,"" said Antonio Neri, president and CEO of Hewlett Packard Enterprise.""MapR's file system technology enables HPE to offer a complete portfolio of products to drive artificial intelligence and analytics applications and strengthens our ability to help customers manage their data assetsend to end, from edge to cloud.""This asset acquisition accelerates HPE's Intelligent Data Platform capabilities and helps customers optimize workload solutions for mission-critical big-data workflows - whether they are cloud-native or on-premises.The MapR Data Platform helps deliver the foundation for a next-generation edge-to-cloud AI/ML and analytics data pipeline by: Extending BlueData capabilities for stateful container-based applications. The combination of the BlueData and MapR technologies can empower data scientists and data analysts to stitch together AI/ML and analytics data pipelines in minutes across on-premises, hybrid cloud, and multi-cloud environments. Enabling storage and consumption of data by a broader set of AI/ML and analytics data,engines, applications, and tools from ISV partners. MapR allows for multiple workloads in the same environment and offers expansive APIs for easy access. Ensuring a consistent approach to secure, govern,protect, and orchestrate data up to exabyte scale across the AI/ML and analytics data pipeline. MapR handles a variety of data types from files and streams to documents. Simplifying AI/ML and analytics data management and processing from edge to cloud. MapR multi-cloud and container support ensure seamless portability of applications across disparate environments running MapR Data Platform.""At HPE, we are working to simplify our customers' and partners' adoption of artificial intelligence and machine learning,"" said Phil Davis, president, Hybrid IT, Hewlett Packard Enterprise. ""MapR's enterprise-grade file system and cloud-native storage services complement HPE's BlueData container platform strategy and will allow us to provide a unique value proposition for customers. We are pleased to welcome MapR's world-class team to the HPE family."""
16,21-Mar-15,IBM2,AlchemyAPI,"IBM Acquires AlchemyAPI, Enhancing Watson's Deep Learning Capabilities","BM(NYSE: IBM) announced it has acquired AlchemyAPI, a leading provider of scalable cognitive computing application program interface (API) services and deep learning technology. The acquisition will accelerate IBM's development of next generation cognitive computing applications. The acquisition also significantly expands the Watson ecosystem, welcoming 40,000 developers that have innovated on the AlchemyAPI platform to the IBM Watson developer community. Financial terms of the deal were not disclosed. IBM will integrate AlchemyAPI's deep learning technology into the core Watson platform, augmenting Watson's ability to quickly identify hierarchies and understand relationships within large volume data sets.The technology is expected to enhance Watson's ability to ingest, train and learn the ""long-tail"" of various data domains - including general business and target industries, as well as address the need to manage constantly evolving ontologies.In addition, the acquisition will greatly expand the number and types of scalable cognitive computing APIs available to IBM clients, developers, partners and other members of the Watson ecosystem. This includes language analysis APIs to address new types of text and visual recognition, and the ability to automatically detect, label and extract important details from image data. Founded in 2005 and headquartered in Denver, AlchemyAPI's deep learning platform enables clients,partners, developers and other third-parties to build cognitive-infused applications with advanced data analysis capabilities such as taxonomy categorization, entity and keyword extraction, sentiment analysis andweb page cleaning. The company's software platform processes billions of API calls per month across 36countries and in eight different languages: English, French, German, Italian, Portuguese, Russian, Spanish,and Swedish. ""IBM continues to invest in Watson's core technology and cloud development platform, amplifying a robust Watson ecosystem where third party organizations are creating new businesses and solutions powered by Watson,"" said Mike Rhodin, senior vice president, IBM Watson. ""Our ability to draw upon both internal and external sources of innovation, from IBM Research to acquisitions like AlchemyAPI, remain central to our strategy of bringing Watson to new markets, industries and regions.""""Today is the start of a new journey for AlchemyAPI, our customers and our user community, as we join IBM,the leader in cognitive computing,"" said Elliot Turner, founder and CEO, AlchemyAPI. ""We founded AlchemyAPI with the mission of democratizing deep learning artificial intelligence for real-time analysis of unstructured data and giving the world's developers access to these capabilities to innovate. As part of IBM'sWatson unit, we have an infinite opportunity to further that goal.""Watson is the first commercially available cognitive computing capability representing a new era incomputing. The system, delivered through the cloud, analyzes high volumes of data, understands complex questions posed in natural language, and proposes evidence-based answers. Watson continuously learns, gaining in value and knowledge over time, from previous interactions. IBM is delivering new Watson services and APIs through the Watson Zone on Bluemix, the company's digital innovation platform that enables developers to rapidly build, deploy and manage apps across any combination of public, private and hybrid cloud. Thousands of developers, entrepreneurs, data hobbyists, students and others have already built more than 7,000 apps powered by Watson to date. AlchemyAPI's capabilities, including new language analysis and visual recognition services, will be delivered through Bluemix, and enable developers to quickly build a range of business applications. New and existing users can sign up for a free trial and access the AlchemyAPI services today . Today's news builds on the recent announcement of IBM Watson Personality Insights API and the launch offive new beta Watson Services, bringing the total number of cognitive API services to thirteen in the past six months alone"
17,11-Mar-19,NVIDIA,Mellanox,VIDIA to Acquire Mellanox for $6.9 Billion,"NVIDIA to Acquire Mellanox for $6.9 Billion-- Unites leaders in processing and interconnect for the high performance computing market-- Builds on the companies' long history of collaboration and joint innovation-- Expected to be accretive to NVIDIA's non-GAAP gross margin, non-GAAP EPSand free cash flow immediately after close SANTA CLARA, Calif., and YOKNEAM, Israel, March 11, 2019 (GLOBE NEWSWIRE) -- NVIDIA and Mellanox today announced that the companies have reached a definitive agreement under which NVIDIA will acquire Mellanox. Pursuant to the agreement, NVIDIA will acquire all of the issued and outstanding commonshares of Mellanox for $125 per share in cash, representing a total enterprise value of approximately $6.9billion. Once complete, the combination is expected to be immediately accretive to NVIDIA's non-GAAP gross margin, non-GAAP earnings per share and free cash flow.The acquisition will unite two of the world's leading companies in high performance computing (HPC).Together, NVIDIA's computing platform and Mellanox's interconnects power over 250 of the world's TOP500 supercomputers and have as customers every major cloud service provider and computer maker.The data and compute intensity of modern workloads in AI, scientific computing and data analytics is growing exponentially and has put enormous performance demands on hyperscale and enterprise datacenters. While computing demand is surging, CPU performance advances are slowing as Moore's law has ended. This hasled to the adoption of accelerated computing with NVIDIA GPUs and Mellanox's intelligent networking solutions. Datacenters in the future will be architected as giant compute engines with tens of thousands of compute nodes, designed holistically with their interconnects for optimal performance.An early innovator in high-performance interconnect technology, Mellanox pioneered the InfiniBand interconnect technology, which along with its high-speed Ethernet products is now used in over half of the world's fastest supercomputers and in many leading hyperscale datacenters.With Mellanox, NVIDIA will optimize datacenter-scale workloads across the entire computing, networking and storage stack to achieve higher performance, greater utilization and lower operating cost for customers.""The emergence of AI and data science, as well as billions of simultaneous computer users, is fueling skyrocketing demand on the world's datacenters,"" said Jensen Huang, founder and CEO of NVIDIA.""Addressing this demand will require holistic architectures that connect vast numbers of fast computing nodes over intelligent networking fabrics to form a giant datacenter-scale compute engine.""We're excited to unite NVIDIA's accelerated computing platform with Mellanox's world-renowned accelerated networking platform under one roof to create next-generation datacenter-scale computing solutions. I am particularly thrilled to work closely with the visionary leaders of Mellanox and their amazing people to invent the computers of tomorrow."" ""We share the same vision for accelerated computing as NVIDIA,"" said Eyal Waldman, founder and CEO of Mellanox. ""Combining our two companies comes as a natural extension of our long standing partnership and is a great fit given our common performance-driven cultures. This combination will foster the creation of powerful technology and fantastic opportunities for our people.""The companies have a long history of collaboration and joint innovation, reflected in their recent contributions in building the world's two fastest supercomputers, Sierra and Summit, operated by the U.S. Department of Energy. Many of the world's top cloud service providers also use both NVIDIA GPUs and Mellanox interconnects. NVIDIA and Mellanox share a common performance-centric culture that will enable seamless integration.Once the combination is complete, NVIDIA intends to continue investing in local excellence and talent in Israel, one of the world's most important technology centers. Customer sales and support will not change as a result of this transaction."
18,13-Aug-18,Recall Studios,Evolution AI Corp.,Recall Studios Closes USD 200m Acquisition of Artificial Intelligence Firm Evolution AI Corp," US-based Recall Studios (OTC: BTOP) has closed the acquisition of artificial intelligence technology firm Evolution AI Corp., the company said. Evolution AI is engaged in the development of hyper-realistic human animation technology to enable leading Artificial Intelligence platforms to interact with consumers in a relatable human form.The acquisition will also include Evolution AI Corp.’s majority stake in Pulse Evolution Corp. (OTC: PLFX), a pioneer in the development of hyper-realistic digital humans for live shows, virtual reality, augmented reality,holographic, 3D stereoscopic, web, mobile, interactive and artificial intelligence applications.Under the terms of the transaction, Recall Studios will pay USD 200m to Evolution AI Corp. shareholders inthe form of newly issued common stock of Recall Studios, in exchange for 100% of the common stock of Evolution AI Corp., which shall include an approximate 60% ownership interest in Pulse Evolution Corp.The purchase price is based on an initial negotiated valuation of USD 0.50 per share of Recall Studios common stock, subject to a ‘min-max’ adjustment based on the average trading price of Recall Studios shares, such terms more fully outlined in the definitive share exchange agreement executed between the parties.Recall Studios’ principal strategy is focused on the explosive market of Mixed Reality (both augmented and virtual), with a portfolio of proprietary technology (and patents pending) that is market-ready and slated for commercial introduction in 2018.Through the acquisition of Evolution AI Corp., Recall Studios will secure participation in opportunities of artificial intelligence, and will also acquire control of Pulse Evolution Corp., an entertainment technology company with an impressive global reputation.Pulse Evolution and its principals are most popularly known for producing digital humans including the Academy Award lead character inThe Curious Case of Benjamin Button(2008), the digital alter-ego of JeffBridges inTron:Legacy(2010), the holographic performance of Virtual Tupac Shakurat the Coachella Valley Music Festival,and Virtual Michael Jacksonat the Billboard Music Awards"
19,05-Sep-14,Rocket Fuel,X Plus Two Solutions Inc,Rocket Fuel Announces Completion of [x+1] Acquisition,"The Combination Provides New Ways to Enhance Every Customer's Journey, While Addressing the EvolvingNeeds of Brands and Their Agencies REDWOOD CITY, CA--(Marketwired - Sep 5, 2014) - Rocket Fuel (NASDAQ: FUEL), a leading provider of artificial intelligence (AI) advertising solutions for digital marketers, today announced the completion of the acquisition of X Plus Two Solutions Inc, the parent company of [x+1], a leading provider of programmatic marketing and data-management solutions. The acquisition of [x+1] significantly expands the market opportunity for Rocket Fuel, enabling integrated storytelling across the customer journey, accelerating the company's entry into the digital marketing enterprise SaaS market, and leveraging an enterprise sales and marketing infrastructure to drive growth.""With this acquisition we are meeting the evolving needs of marketers and their agencies,"" said George John,Rocket Fuel CEO and Chairman. ""The merger with [x+1] accelerates our vision to become the leading technology platform for marketers by unleashing the power of Rocket Fuel artificial intelligence across a wider spectrum of addressable media.""Marketers and agencies are poised to benefit from the teaming of two trusted partners in other ways as well. John Nardone, formerly [x+1] CEO and now Executive Vice President and General Manager at Rocket Fuel explains: ""Both companies are known for low-touch, high-performing technology, but we are also made up of people who share a passion for our customers' businesses,"" said Nardone. ""Our people provide what machines cannot: a curiosity that asks the 'whys' and 'what ifs' that help marketers uncover untapped potential at every consumer touch point.""Our vision of Marketing that Learns(TM) is to develop a unified SaaS marketing platform where we can apply AI to the entire customer journey, to drive performance for marketers and increase relevance and value for consumers. As Rocket Fuel and [x+1] technology come together the solutions will empower marketers and their agencies to unlock unique insights and uncover data patterns that connect the dots across addressable channels such as web, email, display, mobile, social, and video, as well as channels previously not programmatically accessible like print, direct mail, and point-of-sale.As a first step, we anticipate that as early as Q4 we will have a combined solution that tightly couples the Origin Marketing Hub with Rocket Fuel's DSP for the industry's best optimization and reach. This combined solution will have access to Rocket Fuel's inventory across 18 global ad exchanges for display, video and mobile.Rocket Fuel's full range of offerings will provide the flexibility and choice marketers and agencies seek using technology, managed and self-service models, and expertise to tie disparate pieces of information together to deliver real results.This resonates with enterprise marketers and analysts:""As a customer of both Rocket Fuel and [x+1], Volkswagen is thrilled about the possibilities created by thi spowerful acquisition,"" said Jennifer Clayton, General Manager Marketing Communications, Volkswagen Group of America. ""Now that all of their strengths are in one place, they will be a major force in Volkswagen's programmatic approach."" ""The combination of Rocket Fuel's optimization expertise and the breadth of [x+1]'s DMP makes an interesting offering for enterprise marketers who want to take tighter executional control of their programmatic strategies,"" said Karsten Weide, IDC's Program Vice President, Digital Media and Entertainment. ""I will be watching this integration very closely."""
20,07-Mar-18,S&P Global,Kensho Technologies,"S&P Global Buys Startup in Artificial-Intelligence Push; Credit-rating firm will pay $550 million forKensho Technologies, which provides analysis for financial institutions","S&P Global Inc. said it would buy technology startup Kensho Technologies Inc. for about $550 million, its second investment in the artificial intelligence sector this year.The deal is the latest sign of Wall Street embracing AI. Almost one-fifth of banks and financial-services companies surveyed by Greenwich Associates have implemented AI technology into their businesses,according to an October report by the research firm. Banks have tapped machine learning for their research,trading and compliance, the report said.Kensho, based in Cambridge, Mass., uses AI to provide data analysis for financial institutions.""Kensho's capabilities are critical for S&P Global to be at the forefront of the technology transformation taking place within the financial markets,"" said S&P Global Chief Financial Officer Ewout Steenbergen.The company was founded in 2013. Its staff consists of former employees of Google parent Alphabet Inc.,Facebook Inc. and Twitter Inc., an S&P Global spokesman said.While S&P Global is known for its credit-ratings business, the New York-based company has in recent years been building its indexing and data divisions. Last month, it completed the acquisition of Panjiva Inc., another machine-learning and analytics company but one that tracks global supply data. It also invested last year in London-based Algomi, which uses AI in fixed-income trading. In its fourth-quarter earnings presentation, S&P Global indicated that it wants to expand its index division andinvest in alternative data companies. Companies, including those outside of the technology industry, have been venturing more into AI. Machine learning, a branch of AI, is the capability of computers to learn things without programming by humans.Machine-learning computers tend to be able to parse vast quantities of data quickly.S&P Global's stock has jumped more than 12% this year, hitting a record $193.30 a share on Feb. 26. The company's market capitalization has topped $48 billion, FactSet data show. On Tuesday, S&P Global rose0.3%, to $190.99.On Monday, at a conference in Orlando, S&P Global Chief Executive Douglas Peterson emphasized the company's focus on data and analytics. ""About five, six years ago, we repositioned the company around the theme of essential intelligence,"" Mr. Peterson said at the conference.Kensho had raised venture-capital funding from investors including Accel, Devonshire Investors, General Catalyst Partners, Goldman Sachs & Co., GV, In-Q-Tel and New Enterprise Associates"
21,02-May-15,Sealed Air,Intellibot Robotics LLC, Sealed Air Acquires Assets from Intellibot Robotics,"SealedAir (NYSE:SEE) announced the acquisition of Intellibot Robotics LLC, a U.S.-based privately owned company that has pioneered the development of robotic commercial floor cleaning machines.The acquisition includes certain intellectual property, the manufacturing and engineering operations in Richmond, Virginia, and sales. The business will be integrated into Sealed Air's Diversey Care division and its leading brand of TASKI floor cleaning machines.""The combination of Diversey Care's industry expertise and global reach and Intellibot's artificial intelligence technology will help accelerate the development of the robotic floor cleaning machines market - ultimately driving efficiencies and business value for the hygiene industry,"" said Dr. Ilham Kadri, President, Diversey Care. Financial terms of the transaction were not disclosed. Sealed Air does not expect the transaction to be material to its consolidated financial position or results of operation. Business Sealed Air Corporation creates a world that feels, tastes and works better. In 2014, the Company generated revenue of approximately $7.8billion by helping our customers achieve their sustainability goals in the face of today's biggest social and environmental challenges. Our portfolio of widely recognized brands, including Cryovac(R) brand food packaging solutions, Bubble Wrap(R) brand cushioning and Diversey(R) cleaning and hygiene solutions,enables a safer and less wasteful food supply chain, protects valuable goods shipped around the world, and improves health through clean environments. Sealed Air has approximately 24,000 employees who serve customers in 175 countries."
22,04-Sep-18,Seven Stars Cloud,Grapevine Logic Inc.,"Seven Stars Cloud Acquires Grapevine, a Leading Influencer Marketing Company","Seven Stars Cloud Group, Inc. (to be renamed Ideanomics)(NASDAQ: SSC) (""SSC"" or the ""Company""), a leading global fintech and asset digitization services companyfocused on digital asset production and distribution, has today announced its acquisition of Grapevine LogicInc., a world leading end-to-end influencer marketing platform. Grapevine will play a pivotal role in SSC'sconsumer asset digitization strategy.This acquisition is integrally linked with SSC's 4+2+1 Strategy to drive growth across its core product areaswhich are--1) Fixed Income-based Financial Digital Assets, 2) Consumer Tech Digital Assets, 3) Commodityand Energy Digital Assets, and 4) TradeTech Digital Assets.Targeting the Social Media Influencer market, estimated to have reached a market size of $2 billion in 2017, Grapevine has become a world leader in facilitating the collaboration between advertisers/brands and video-based social influencers/content creators. Through the Grapevine platform, more than 4,700 brands --including many of today's leading Fortune 500 consumer brands in Beauty, Fashion, Women's Lifestyle,Gaming, Consumer Electronics, Cooking, Nutrition, Men's Lifestyle, Sports, Exercise and several other secondary verticals -- have been able to engage with over 177,000 social influencers, reaching more than 3.2billion followers, ultimately helping these companies promote their products and strengthen their brands. Grapevine's core business model thrives on brands spending their marketing dollars on Grapevine's web-based platform. These brands essentially hire social media influencers to deliver specific marketing requirements. Through bookings, Grapevine captures fees from brands as well as a service fee from hired influencers. Additionally, Grapevine provides a white glove Agency model where the Company works closely with big brands to deliver high quality marketing results with leading influencers. Blockchain and Artificial Intelligence technology, core assets for SSC, enable seamless and decentralized collaboration between counter parties, eliminating the need for a central authority. Blockchain can be used fora wide variety of applications, such as tracking the ownership of digital assets, keeping decentralized transactional records and establishing verified consensus. By applying blockchain-enabled technologies such as smart contracts and the tokenization of assets to Grapevine's existing ecosystem and existing social media influencer business model, SSC looks to revolutionize the way influencers and celebrities alike, engage with fans, brands and communities on a globalscale.By empowering influencers via a token-based model, they will be able to more effectively build their brands,monetize their work, and engage with their audiences. The ability to provide influencers with new monetization paths, as well as fans and brands with exclusive access to these influencers and their services,is a massive opportunity. Additionally, the acquisition of Grapevine allows for unique access to high impact influencers from top celebrities through micro-influencers. SSC will be pursuing celebrity tokenization opportunities that may include and facilitate access to merchandise, exclusive interactions, and other value added services as influencers grow in popularity. With Grapevine, tokenized celebrity influencer monetization opportunities can be taken to new heights. Further, Grapevine will accelerate SSC's penetration into customer loyalty programs, consumer financing,and the asset securitization market. The combination of loyalty management programs and blockchain technology can bring immense efficiencies to cash rewards, pre-paid cards and coupons bringing numerous market efficiencies, cost reductions, and enhanced brand loyalty. In the U.S. alone, customer loyalty memberships have reached 3.8 billion.Also, of note, the integration of AI for risk management and blockchain technology into Grapevine's core business model will act as a force enabler for Grapevine and also provide strategic capability for SSC. The Company will leverage the global reach of Grapevine's growing social media follower network that is accessed by Grapevine's Social Media Influencers. This reach provides for enhanced consumer marketing as well as digital asset creation and sales. Furthermore, as blockchain-based transactions become more prolificand asset digitization of securities and non-securities grow, the ability to access large audiences will continue to be of incredible value.""We are very excited to welcome Grapevine and its robust and vibrant network of influencers and brands to the SSC family,"" said Bruno Wu, Executive Chairman & CEO of SSC. ""We believe Grapevine's existing global ecosystem will be the foundation for a broad application of blockchain technologies throughout the media and entertainment industry and be the corner stone of our consumer digital asset business line. We look forward to working closely with Grapevine's team to expand the platform, enhance the interactions between the participants and help identify and compensate major up-and-coming stars.""""Our goal from day one was to help social influencers unlock value through brand collaborations while staying true to their audiences,"" said Grant Deken, Grapevine Co-Founder and CEO. ""Joining Bruno and the rest of the talented team at SSC accelerates our ability to innovate and provide new ways to create value and empower influencers, celebrities, and advertisers to more deeply connect and engage with audiences. We are excited about the opportunity that blockchain and AI offer, and we look forward to integrating these technologies together to expand our market impact and reach."""
