Serial_no,Group_id,source doc_code,acquirer_name,acquirer_ISIN code,acquirer_GV key,acquirer_country,ticker_symbol_acquirer,PERMNO,date_of_press_report,target_firm_name,target_firm_country,Heading,Text
50,38,AIU39,Cubic Corporation,US2296691064,#REF!,USA,CUB,86580,22-03-2014,Intific Inc.,USA,,"Cubic Corporation announced that it has completed the acquisition of Intific, Inc., an Austin, Texas-based advanced technology company focused on software and game-based solutions in modeling and simulation, training and education, cyber warfare, and neuroscience. Intific will become part of the Cubic Defense Systems segment which is a market leader in innovative live, virtual, and game-based training solutions. Intific completed 2013with approximately $14 million in revenue and employs 80 personnel primarily located in Austin, Texas and Alexandria, Va. The acquisition enables Cubic to broaden its presence in a variety of adjacent businesses in the cybersecurity, next generation defense technologies including game based learning solutions, and transportation related training applications. Intific brings a wide range of expertise to Cubic including computer simulation, animation, human-machine interaction, robotics, neuroscience, visualization, gaming, and artificial intelligence. Intific's core software and gaming competencies are aimed at the creation of simulations for planning, operation rehearsal, location familiarization, and decision making. They have a long history of successfully delivering leading edge technology oriented projects for customers which include the U.S.Defense Advanced Research Projects Agency (DARPA), Volpe National Transportation Systems Center, and the Air Force Research Laboratory (AFRL). Recently, Intific was awarded the Foundational Cyberwarfare(Plan X) project by DARPA to develop platforms for the Department of Defense to plan for, conduct, and assess cyberwarfare in a manner similar to kinetic warfare.""We plan to harness the creative energy of Intific's workforce and to combine their considerable portfolio of leading edge capabilities and solutions with our market footprint and product mix. Bringing together our respective companies will allow us to continue to be thought leaders in our core market and deliver leading edge innovative solutions for our customers,"" said Dave Schmitz, president of Cubic Defense Systems.""We were looking for a partner that values innovation, advanced technologies, and one that can broaden our customer footprint in the US and abroad,"" said Pete Bonanni, president of Intific. ""The Intific team will enhance Cubic's solutions for markets in defense, cyber, and transportation worldwide. ""Intific is well aligned with our strategic imperatives of broadening our advanced research capabilities and expanding our reach into game based learning and the cyber domain. We believe that Intific's technology and capabilities can address some of the unique requirements that exist across all of Cubic's businesses. They are a great addition to the Cubic family,"" said William W. Boyle, chief executive officer of Cubic Corporation. About Cubic CorporationCubic Corporation is the parent company of three major business segments. CubicTransportation Systems is a leading integrator of payment and information technology and services for ntelligent travel solutions. Cubic Defense Systems is a leading provider of realistic combat training systems and secure communications. Mission Support Services is a leading provider of training, operations, maintenance, technical and other support services for the U.S. and allied nations."
51,39,AIE14,Dassault SystÃ¨mes,FR0000130650,63169,France,,30681,12-06-2019,"Medidata Solutions, Inc.",USA,,"As the life science industry shifts its focus to personalized medicine and passion-centric experiences, we believe scientific innovation on industrial performance call for a unified new approach, and this is exactly what we have been working towards with our investments in life science over the last years. The acquisition of Medidata with its clinical and commercial solutions reinforces our position as a science-based company by providing the life science industry with an integrated business experience platform for an end-to-end approach to research on discovery, development, clinical testing, manufacturing and commercialization of new therapies on health technologies. Importantly, Medidata's leadership in clinical trials complements our life science solutions on the3DEXPERIENCE collaborative platform. Further, with its recent expansion into real-world evidence analytics, coupled with the power of modeling and simulation, we will be able to demonstrate together how the virtual world will analyze the next generation of passion-inclusive therapeutics. We are now well positioned to be the enabler of the life science industry transformation, elevating our company's purpose of harmonizing product,nature and life Our first priority continues building on our momentum with the 3DEXPERIENCE platform as a key enabler for industry renaissance in the industries we address. Our objective, as we have shared with you since our 2018Capital Markets Day, is to make 3DEXPERIENCE the large majority of our software business over the next 4years.Second, we have invested heavily many billions of euros to support our core industries on our leadership in transportation and mobility, aerospace and defense and industrial equipments to name a few. We will continue to advance our innovation on behalf of these clients. Our investment in biology, chemistry, material science clearly demonstrate the cross-industry benefits of our investment on expansion of our reach.Third, we believe 3DEXPERIENCE platform can be a critical enabler for innovation on transformation across all major industries, where the drive to provide new types of customer experiences, in this case, passion experiences, our new business models is emerging and accelerating. We see these possibilities across the 3spheres addressed by our purpose: product, nature and life.Fourth, our investment in Medidata complements very well our brands, notably BIOVA. All together with all our brands, we now have an end-to-end set of industry solution experiences for the life science industry.To conclude, we believe the combination of scientific modeling, simulation and the gigantic patrimony of worldwide clinker trials knowledge and know-how that Medidata has been able to build over the years with its top expertise are pro found catalyst to accelerate developments in personalized health, passion-centric experiences and the next standard of medical practices. We share the values, as Tarek said, and also the vision. So we are now happy to take your questions and waiting for the day to do the final closing Medidata fits perfectly in our industry solution experiences, offer the full offer on categories of industry solutions. They are highly complementary, both to the solutions themselves as well as the BIOVIA brand. And its customer base is also highly complementary to Dassault SystÃ ̈mes on a combined basis looking across pharmaceutical, biopharma, contract research organizations as well as medical device companies. We also see a significant opportunity with the strengths we can bring to Medidata over the midterm on a geographic basis with a strong presence in Europe and Asia to extend its global risk reach. Following completion of this acquisition, life sciences will become our second largest industry after transportation and mobility"
52,40,AIU40,Dell,,,USA,DELL,10104,19-11-2015,Cyclane,USA,,"Dell today announced an collaboration with Cylance to integrate its technology into Dell Data Security solutions. Starting in early 2016, Dell will be the only tier one PC vendor to offer a comprehensive security suite integrating Cylance technology with the introduction of Dell Data Protection | Endpoint Security SuiteEnterprise. Cylance is the cybersecurity company that uses artificial intelligence to proactively prevent, rather than just reactively detect, advanced persistent threats and malware. This collaboration builds on the DellVentures investment in Cylance earlier this year as part of its commitment to support new businesses that align with Dell s strategic direction. Customer needs are no longer adequately being met by traditional, signature-based anti-virus and anti-malware solutions in today s fast-evolving threat landscape. Endpoint Security Suite Enterprise withCylance technology will protect against the execution of advanced persistent threats and malware including zero day attacks, scripting attacks and targeted attacks such as spear phishing and ransomware. According to Cylance testing, the new solution will achieve a significantly higher level of protection, stopping 99 percent of malware and advanced persistent threats, far above the average 50 percent efficacy rating of many traditional anti-virus solutions. Endpoint Security Suite Enterprise integrates a deep understanding of attack vectors with sophisticated artificial intelligence and algorithmic science to provide superior endpoint protection against both present and future threats. According to a Dell-commissioned survey, 61 percent of medium to large organizations prefer purchasing security as part of an integrated suite. Endpoint Security Suite Enterprise integrates authentication, encryption and advanced threat protection into one security suite. It requires a fraction of the IT resources that would traditionally be required to maintain an effective advanced threat protection solution, enabling remote management of all components using a single console. The solution prevents threats without the need of a constant cloud connection, frequent updates or a persistent network connection, while providing IT departments with less false positive readings and no signature updates. It also enables compliance with industry standards, meeting PCI DSS Requirement 5 and HIPAA requirements for anti-virus and anti-malware solutions. Additionally, the technology uses a fraction of the system resources associated with anti-virus and traditional malware protection solutions, which means better performance for end users. Dell s ProSupport for Software is bundled with every purchase. It provides 24x7 access to certified engineers whose deep knowledge and expertise can help identify and quickly resolve issues. Additional Protection for Dell Commercial PCs with Endpoint Security Suite EnterpriseDell Latitude and OptiPlex PCs are the most secure commercial PCs in the industry today with best-in-class endpoint security solutions from the Dell Data Protection suite, including comprehensive encryption, advanced authentication and leading-edge malware protection from a single source. The new solution will make the most secure PCs today even more secure by providing customers with effective advanced threat protection that s required to prevent today s increasingly common cyber attacks. This extends Dell commitment to providing customers the most secure commercial PCs available today, while also providing security solutions that work across heterogeneous environments, meaning data is protected as it moves across various devices and through public and hybrid clouds that make up most modern work scenarios."
53,41,AIU41,Diagnos Inc. ,,,Canada,TSX: ADK,75912,05-09-2018,Optina Diagnostics,Canada,,"DIAGNOS a leader in early detection of critical health issues through the use of Artificial Intelligence(AI), announces today an agreement to provide a telemedicine platform based on CARA (Computer AssistedRetina Analysis) to Optina Diagnostics (""Optina"") for a period of 3 years. Optina will use DIAGNOS Cloudser"
54,42,AIU42,eBay,US2786421030,114524,USA,EBAY,14164,06-09-2013,Decide.com,USA,,"eBay said on Friday that it has acquired Decide.com, a Seattle-based price-forecasting startup that used predictive analytics to help consumers decide whether they should buy a product now or wait for the price to drop. All 26 of Decide's employees, except for co-founder and CTO Oren Etzioni, will be joining eBay's new Bellevue, Wash., office. Decide will shut down at the end of September. While Decide's focus has been on providing pricing information to consumers, its engineers will now be tasked with building tools for sellers on eBay's marketplace. Some tools will aim to help sellers price their items more competitively, and others may help them decide whether an auction is the best sale format for a given product, or whether they need to upgrade a product's picture quality based on past selling patterns,eBay CTO Mark Carges said.Decide.com CEO Mike Fridgen will continue to lead his same staff at eBay.Decide.com had raised $16.5 million from Madrona, Vulcan Capital and Maveron, most recently receiving an$8 million Series C round in March"
55,42,AIU43,eBAY,US2786421030,114524,USA,EBAY,17478,22-11-2011,Hunch.com,USA,,"Global ecommerce and online payments leader eBay Inc. (Nasdaq:EBAY) today announced it has acquired the innovative team and technology of Hunch, an online platform launched in 2009 that delivers customized recommendations to its users based on their individual tastes. Hunch""s patented prediction technology - also known as a ""tastegraph"" - uses signals from around the Web to map members with their predicted affinity for products, services, other people, websites, or just about anything, and customizes recommended topics for them. Hunch""s technology talent and its deep expertise in areas like machine learning, data mining and predictive modeling are expected to help eBay expand and grow merchandising and relevance capabilities to further improve the shopping and selling experience for eBay customers. For example, eBay buyers are expected to benefit from Hunch""s predictive ability to generate meaningful, yet often non-obvious, recommendations for items available on eBay based on their specific tastes.""We are engaging consumers in innovative ways and attracting top technologists to shape the future of commerce,"" said Mark Carges, Chief Technology Officer and Senior Vice President, Global Products, Marketplaces. ""With Hunch, we""re adding new capabilities to personalizing the shopping experience on eBay to the individual relevant tastes and interests of our customers. We expect Hunch""s technologies to benefit eBay shoppers as they browse and buy, and to bring sellers on eBay new ways to connect the right products with the right customers. ""Hunch""s familiarity with and expertise in tailoring data to meet customer needs can also be applied to other technology opportunities across eBay, including search, advertising and marketing initiatives, to better surface product and search results based on customers"" tastes. Hunch uses inputs from across the Web including social networks, things members like, who they follow, and answers to Hunch""s own questions - to build unique user profiles that make more personal recommendations and model individuals"" tastes. Once integrated, unlike traditional online retail approaches, Hunch will enable eBay to move beyond standard item-to-item recommendations and use a broader variety of members"" online tastes and interests to suggest new and interesting items for them to browse and buy on eBay. Hunch""s employees will remain with the company, including co-founders Chris Dixon, Tom Pinckney and MattGattis. Hunch will continue to be based in New York"
56,43,AIU44,Envestnet and Yodlee,,,USA,ENV,17037,29-11-2016,Morgan Stanley,USA,," Envestnet Yodlee and its parent company Envestnet, announced a partnership for the combined organization, providing data aggregation, digital applications and data reconciliation solutions to Morgan Stanley, one of the largest, most established wealth management businesses in the industry.""Envestnet and Yodlee are proud to announce Morgan Stanley as a new client, demonstrating our combined organization's growing success selling more comprehensive solutions to large, sophisticated financial institutions,"" said Anil Arora, Chief Executive of Envestnet Yodlee. ""We are obviously thrilled with this partnership and look forward to building value for Morgan Stanley's advisors and clients with our combined market leading technology.""Morgan Stanley, which manages over $2 trillion in client assets, entered into the agreement for both Yodleedata aggregation and digital applications and Envestnet data reconciliation, providing Morgan Stanley with a technology partner that could seamlessly aggregate, cleanse, and reconcile data using the latest machine learning technologies and innovative applications."
57,44,AIE15,"EPAM Systems, Inc.",,,USA,EPAM,17037,12-09-2016,Sinequa,France,,"EPAM Joins Sinequa's Recently Introduced Partner Advantage Program NEWTOWN, Pa. and NEW YORK, Sept. 12, 2016 (GLOBE NEWSWIRE) -- EPAM Systems, Inc., a leading global provider of product development and software engineering solutions, and Sinequa, a leader in Cognitive Search and Analytics and a founding sponsor of the Cognitive Computing Consortium, today announced a partnership to deliver search and analytics solutions for data-driven Global 2000 companies in the pharmaceutical industry. The combination of EPAM's strong Big Data solutions practice and Sinequa's unique Cognitive Search and Analytics platform offers customers the ability to gain quick, actionable insights from their structured and unstructured data. With the emphasis on Big Data, predictive capabilities and speed of insights continue to transform the LifeSciences industry. The partnership enables organizations, facing the common challenge of effectively leveraging valuable insights extracted from large and diverse silos of data, to improve collaboration and streamline business operations. Customers will benefit from EPAM's extensive Big Data expertise and their experience developing innovative, search-based applications on top of Sinequa's platform. The partnership also allows customers to leverage best-in-class capabilities provided by Sinequa, including Natural Language Processing, Machine Learning, text mining, and powerful semantic analysis.""As the Life Sciences industry continues to undergo unprecedented transformation to deliver more value-based and personalized medicine, the capability to integrate vast data resources and translate them into meaningful, actionable insights is critical,"" said Richard Golob, Vice President, Global Head of LifeSciences, EPAM. ""With that in mind, we are pleased to join Sinequa's Partner Advantage Program, which will allow us to offer high-value solutions in areas of importance in Life Science R&D, as well as Big Data mining.""Our clients believe that digital transformation relies mostly on making information available faster with contextual insight,"" said Xavier Pornain, Vice President, WW Sales and Alliances, Sinequa. ""EPAM brings experienced scientists and experts to implement and quickly customize our unique Cognitive Search and Analytics platform, allowing our customers to extract new and useful business insights from the vast quantities of available data."""
58,45,AIU45,ExactTarget,,#N/A,USA,ET,90215,27-10-2012,iGoDigital,USA,,"Global interactive marketing provider ExactTarget announced it has acquired privately-held iGoDigital, bringing advanced Website solutions and predictive analytics to ExactTarget's cross-channel interactive marketing platform.ExactTarget paid $21.0 million in total consideration for iGoDigital, consisting of $14.7 million in cash and$6.3 million in ExactTarget common stock. Indianapolis-based iGoDigital will lead ExactTarget's expanded web product line under the leadership of iGoDigital Founder and President Eric Tobias.""Consumers expect a seamless experience across every interaction with a brand,"" said Scott Dorsey, ExactTarget co-founder and chief executive officer. ""With the addition of iGoDigital's advanced Web capabilities and predictive analytics to the ExactTarget platform, we will continue to revolutionize marketing with a powerful suite of new applications to transform data into highly personalized, seamless experiences across email, mobile, social media and the Web.""Founded in 2004, iGoDigital is a leading provider of Web personalization solutions that deliver predictive, real-time product recommendations and online guided selling experiences. iGoDigital's software-as-a-service platform provides clients a complete solution to observe and analyze online behavior and ask explicit questions through its guided selling application to develop highly accurate customer profiles that can power cross-channel personalization and optimization. Eight of the top 10 online retailers and many of the world'stop brands harness the power of iGoDigital's solutions, including Staples, Wal-Mart, P&G, Lids and Scholastica. ""iGoDigital is revolutionizing the online experience by providing consumer brands a powerful and intuitive solution to transform what they know about a consumer into a highly targeted and relevant online experience,"" said Tobias. ""As a part of ExactTarget, we can provide our clients even greater levels of innovation by bringing together the best of our Web and predictive analytics capabilities with ExactTarget'scross-channel interactive marketing platform."""
59,46,AIU46,Facebook,US30303M1027,170617,USA,FB,89382,06-01-2015,Wit.ai,USA,,"In an attempt to develop voice recognition, Facebook has reportedly acquired Wit.ai, an open platform for natural language processing. The Wit.ai team said that the platform will remain open and available in the wake of the acquisition; however, it's unclear how the platform will develop in the future, reported The Verge.Wit.ai said in a blog post that the technology will play a big part in helping Facebook achieve its mission of connecting everyone and building amazing experiences for the over 1.3 billion people on its platform. Facebook had its eyes on artificial intelligence software, including language processing, for a long time as such programs offer an easy way to leverage the huge amount of data flowing through the platform."
60,47,AIU47,Frankly Inc.,,,Canada,TSX: TLK,85926,17-11-2017,IRIS.TV,USA,,"Frankly's AI Initiative aims to leverage cutting-edge AI and machine learning technologies to help media companies increase audience engagement, enhance content relevancy and deepen operational insights. The AI Initiative will include both in-house development and external partnerships to bring a suite of innovative products and services to Frankly's expanding customer base.""With over 200 media properties on our platform, Frankly is uniquely positioned to enable our customers to enter the next generation in media publishing and monetization by unlocking the power of artificial intelligence and machine learning,"" said Frankly Founder and CEO Steve Chung. ""As traditional media gives way to new digital experiences for consumers, AI has the power to transform how media is created, consumed, distributed and monetized, and our goal is to be at the epicenter of that transformation through our new AIInitiative.""With IRIS.TV, a leading video personalization and programming platform, Frankly AI enables intelligent video playback for consumers globally. ""We selected IRIS.TV as the perfect partner to commence our AI Initiative that leverages machine learning to program the right digital video content to the right viewer in real-time withIRIS.TV's market-leading Adaptive Stream(TM) technology,"" said Todd Randak, head of product for Frankly. Field Garthwaite, CEO and co-founder of IRIS.TV, added, ""There's a sea change happening that's affecting how media is distributed, consumed and monetized. Frankly is part of an important shift in how media platform providers innovate and customize audience experiences. Through our partnership, Frankly is able to leverage the power of AI and machine learning to serve up content that is highly relevant, engages audiences and offers up new revenue opportunities for media companies."
61,48,AIU48,"FRONTEO USA, Inc.",US35905J1007,285174,USA,FTEO,13412,07-11-2016,"Essential Discovery, Inc.",USA,,"FRONTEO Acquires Essential Discovery, Inc. Expansion of Managed Review and Staffing Capabilities Fuels Growth Strategy NEW YORK, Nov. 06, 2016 FRONTEO USA, Inc., a leading provider of global eDiscovery, managed review solutions and big data analysis services utilizing artificial intelligence technology, today announced the acquisition of managed review provider Essential Discovery, Inc. .EDI is a boutique discovery firm with specialization in document review with Fortune 250 corporations andAM Law 100 clients across the United States. With review centers in San Francisco and Las Vegas, along with pop-up capabilities across the country and internationally, EDI is a strategic fit into the expansive network that FRONTEO already has in place.""Continued growing demand for efficient, reliable and cost effective review services in primary and secondary locations enables FRONTEO and EDI to offer clients improved engagement, better project management and streamlined processes,"" says Aaron Fluss, National Managing Director at EDI. ""This will help us to mitigate case risk, drive increased value to law firms and corporations, and standardize review processes based on industry-best methodologies.""EDI's proven ability in the national market demonstrates its ability to focus on client engagement, pre-review analysis and data reduction, as well as the review of documents, and provides deep know-how in the following areas:-- Clients Come First -- EDI operates in a ""client-first"" manner where the customer is the top priority-- Proprietary Review Process -- The ""Advanced Review Team"" provides a results-oriented proprietary process for efficient, reliable,cost-effective review-- Client Project Managers -- Drives continuity of service and project analysis via productivity reporting-- Elite Review Team -- Deep bench strength for review projects leveraging highly skilled and long-tenured attorneys, who also leverage culling techniques through early case assessment to reduce data sets-- Value-Add Service -- Ability to provide additional services such as witness narratives for deposition preparation, case memorandums, and privilege log production for matters""We expect a very smooth and fast transition of EDI resources and processes into FRONTEO,"" says AndyJimenez, CEO of FRONTEO USA, Inc. ""Maintaining our focus on top and bottom-line growth is an important aspect of this acquisition, and our ability to quickly streamline operations and post-merger integration tasks for very rapid time-to-market is key. We look forward to joining forces."" The combination of FRONTEO and EDI will now give the market access to an additional 150 review seats fora total of approximately 1,300 permanent seats for review projects across the U.S., in both primary and secondary markets. There are also additional seats available at FRONTEO review centers internationally for cross-border projects.All EDI staff along with its extensive roster of contract attorneys, project managers, quality controllers, and review staff will be integrated under the FRONTEO brand. Essential Discovery, Inc. was advised by Bundy Group, a boutique investment bank, in the sale to FRONTEO."
62,49,AIE16,GAIA Inc,,,USA,GAIA,45911,23-08-2019,Orexo,Sweden,,"Pharmaceutical company Orexo has partnered with digital therapeutics developer GAIA to create a new digital therapy (DTx) for people with opioid use disorder (OUD).Under the terms of the agreement, Orexo will hold exclusive worldwide commercial rights to the product,OXD-01, which is expected to be launched in the US in 2022.Orexo will carry out clinical development, regulatory approval and commercialisation of the digital therapy,while GAIA is eligible for royalties, milestone payments and financial compensation during the development phase.The new digital therapy will be based on GAIAs broca technology platform, which is backed by an artificial intelligence (AI)-expert system that involves users in personalised and simulated 1:1 interactions.The system also guides patients step-by-step to reach certain goals and therapeutic targets.This individualised approach is said to have a positive impact on therapy outcomes during clinical studies and treatment in real-world healthcare settings and indications.Broca can run the individualised products on almost any web compatible device, including virtual reality applications. The platform has powered more than 70 products and has been assessed in more than 10,000patients across multiple clinical trials to date.Orexo president and CEO Nikolaj Srensen said: GAIAs technology and expertise in digital therapeutics are impressive and makes them an ideal partner for Orexo to develop this new treatment. I am convinced that DTx will become an integral and natural part of addiction treatment in the future.This digital therapy for OUD patients is perfectly positioned with Orexos competences and commercial organisation in the US.Srensen added that GAIA technology and products have the potential for application in other disease areas that are relevant to Orexos existing customers.In December, the US Food and Drug Administration (FDA) cleared Sandoz and Pear Therapeutics reSET-O prescription digital therapeutic for OUD"
63,50,AIU49,GBT Technologies Inc,,,USA,OTC PINK: GTCH,75316,23-10-2019,BitSpeed,USA,,"GBT Technologies Inc., a company specializing in the development of Internet of Things (IoT) and Artificial Intelligence (AI) enabled networking and tracking technologies, including its GopherInsight wireless mesh network technology platform for both mobile and fixed solutions, announced that it has entered into a Joint Venture (JV) Agreement with BitSpeedLLC (BitSpeed), a software development company located in the Los Angeles area. The new JV will be called GBT BitSpeed Corp.Bit Speed (www.bitspeed.com) specializes in the development, sale and maintenance of software which allows the accelerated and secure transfer of large file data over existing private or public networks. BitSpeedis currently partnered with a major Cloud Platform (GCP) and has an agreement to supply its software through GCPs Partner Advantage program, where their customers can buy certified solutions directly from GCP.BitSpeeds Concurrency application competes in the Extreme File Transfer market, which is a subset of the larger Managed File Transfer or MFT market. Per analyst Market Reports World Managed file transfer is a type of software that allows the transfer of files inside an organization or between multiple organizations. This method is a fast, secure, reliable, and a transparent way of exchanging files, with additional features such as tracking and monitoring. As a result, one can discover the loss of data from a specific point, and also receive an acknowledgement after successful completion of a file transfer process. With the advent of digitalization, companies are becoming heavily dependent on the successful transmission of digital files bearing critical information. Hence, this transmission should be secure, reliable, and quick to run the business process smoothly in real time. The demand for efficient and effective file transfer has been increasing in the past few years.GBT BitSpeed Corp. is expected to assist with the integration and development of BitSpeeds technology intoGBTs patented and patent-pending technology platform outlined in previous announcements, highlighted by its GopherInsight, gNET Wireless Mesh Network platform, and its Avant! AI management system. As GBTsgNET network data transfer needs grow in the future, it is planned that a high-speed, secure layer of technology could be added to facilitate movement of large file data globally.""Continuing with our strategic goal to launch world-class products and software, GBT feels that this is another great step in enhancing our offerings both through internal and partner resources, said Doug Davis, GBTsChief Executive Officer. We welcome our new partners from BitSpeed and look forward to our cooperative development and business efforts in the future.""We are excited to partner with GBT in this Joint Venture, states Caron Caldwell, BitSpeeds GeneralManager. As wireless mesh networks deploy globally, it will be important to move large amounts of data quickly and safely, and we look forward to helping GBTs InSight platform achieve this"
64,51,AIU50,GE Healthcare,,,USA,GE,76076,28-11-2017,Intel,USA,,"GE Healthcare this week expanded a pair of existing technology partnerships with the aim of improving medical imaging and making the valuable patient data locked away in such images more easily available to doctors.GE Healthcare — a unit of Boston-based General Electric Co.  that is headquartered in Chicago— announced both partnerships at the annual meeting of the Radiological Society of North America in Chicago. In one deal, GE Healthcare will increase its use of Intel Corp.'s Xeon processors to build both on-premise and off-site data storage arrays for customers. The goal, according to the companies, is to lower the cost of ownership of medical imaging devices by 25 percent by optimizing the way hospitals store the images.Intel employs around 20,000 workers in Hillsboro"
65,51,AIU51,GE Healthcare,,,USA,GE,23579,28-11-2017,NVIDIA,USA,,"In the other deal, GE Healthcare unveiled a new CT scanner, the Revolution Frontier CT, which promises to work twice as fast as its predecessor due to its reliance on NVIDIA's artificial intelligence technology. The graphics-processing chips made by California-based NVIDIA Corp. (Nasdaq: NVDA) have been at the center of recent advances in AI, especially when it comes to analyzing large numbers of images. The two companies are also partnering to create the GE Healthcare Applied Intelligence Platform to ""to accelerate the creation, deployment and consumption of deep learning algorithms in new healthcare analytic applications."" GE estimates that the average hospital produces 50 petabytes of data every year, but that only abut 3 percent of that data is able to be properly analyzed. It's not GE's first foray into artificial intelligence and healthcare. In May, GE Healthcare announced a 10-year partnership with Partners HealthCare to develop AI applications for every part of a patient's interaction with a hospital, starting with a focus on diagnostic imaging."
66,51,AIU52,GE Healthcare,,,USA,GE,76230,21-08-2019,Tampa General Hospital,USA,,"Tampa General becomes the fourth hospital in the world and first in Florida to open a command center in partnership with GE HealthcareTAMPA, Today Tampa General Hospital launched a high-tech ""mission control"" clinical command center which uses artificial intelligence and predictive analytics to improve and better coordinate patient care at a lower cost. The hospital's new center is called CareComm and has been developed in partnership with GE Healthcare. It features 20 artificial intelligence apps, video walls with 38 large screens, 32 work stations, multiple computer systems, and a multi-disciplinary clinical team that includes doctors, nurses, and allied health professionals.CareComm staff use these resources to predict the needs of patients and team members before they arise.With CareComm, Tampa General can anticipate potential roadblocks and issues in the care process,ensuring that rooms, equipment and medical professionals will be available for patients as soon as they're needed.Florida Gov. Ron DeSantis came to TGH for the CareComm unveiling on Tuesday and said he was impressed by the innovation.""If you had told me we were in Kennedy Space Center in there, I probably would have believed you,"" the governor said. He said TGH staff had explained how CareComm helps different hospital departments collaborate and avoid communications silos. ""They've broken down all these barriers and are able to achieve efficiencies and I think that's great.""""CareComm is a new center at Tampa General Hospital that harnesses technology and ingenuity to further improve healthcare,"" DeSantis said. ""Ensuring Floridians have access to higher quality and more affordable healthcare has been a priority of my administration. I look forward to seeing CareComm's impact in the Tampa Bay Community.""The center will improve quality while decreasing costs, said John Couris, president and CEO of TampaGeneral Hospital.""CareComm is a huge step in our journey to become the safest and most innovative academic health system in the country,"" Couris said. ""We're grateful to our physicians, nurses, staff, and our GE Healthcare partners for helping us leverage technology to drive quality up and costs down. This means better care and lowercosts for patients.""Several other elected officials attended the unveiling on Tuesday.CareComm's temporary facility, open since December, already has helped TGH reduce the average patient's length of stay in the hospital by about half a day. This creates a better experience for patients who are ready to leave the hospital and also allows new patients to get to their rooms sooner. Reducing such inefficiencies has saved about $10 million -- savings that ultimately benefit staff and patients.All this data and analysis is focused on one goal -- providing world-class care to patients in a more efficient way.""CareComm helps us ensure that each patient gets the best possible care right when they need it,"" said Dr.Pete Chang, vice president of Care Transitions. ""Because our CareComm team is focusing on smoothing each patient's journey through the hospital, our clinical team at the bedside has more time to spend with the patient.""TGH doctors, nurses and administrators already work to manage the flow of patients, but it's a complex task at a 1,007 bed academic medical center that on any given day treats people for cancer, traumatic accidents,heart attacks, infectious diseases and transplant operations.CareComm uses the best of human ingenuity and artificial intelligence to manage this process.Part of the reason that CareComm is working so well is because our team work elevates technology,"" said Kelly Cullen, executive vice president and chief operating officer. ""We've got teams from across the hospital --from nurses to transport staff to environmental services -- sharing and acting upon information in CareCommto help our team members make sure our patients get the best care."" The center uses technology developed by GE Healthcare.""Tampa General's focus on team, patients and innovation was apparent from our first interaction,"" said JeffTerry, CEO of Clinical Command Centers for GE Healthcare. ""It's a terrific environment. The CareCommprogram includes a digital twin of TGH and a range of process improvement projects. Today is a terrific milestone for John and his team, the results are already impressive, and there's so much innovation still ahead.""CareComm's features include:-- 20 artificial intelligence apps, or ""tiles,"" from GE Healthcare. These tiles process hundreds of messages every minute, apply advanced analytics,and then provide decision support for CareComm staff-- Individual ""tiles"" that monitor patient flow, track any delays in care,and even spot early warning signs that a patient's health may be declining-- 38 large screen LCDs so the tiles can be displayed with live data all the time-- 4 of the LCDs are touch screens so staff can manipulate tiles during huddles and meetings-- Carefully designed processes used by CareComm staff to help team members in the moment Why are these changes important? It's all about improving the care to patients -- and improving their healthoutcomes. Getting patients connected with nurses, doctors and hospital rooms at the soonest possible time often improves their care. ""We all know the earlier you treat someone, the better the outcome is, generally speaking, "" Chang said.TGH hospital began a temporary scaled-down version of CareComm in December and moved into a new8,000 square-foot headquarters on the hospital's main campus today. The coordination provided by CareComm also has enabled TGH to open a new Departure Lounge to further improve patients' experience and patient flow. Instead of waiting in their hospital room to receive their take-home medicine or for their ride home, patients are now able to go to the lounge. It has comfortable chairs, televisions, wi-fi, plus free coffee and snacks. This allows patients to wait in a friendly and comfortable atmosphere, and it also opens up hospital beds sooner for those with acute needs.""CareComm is the kind of innovation that Tampa General stands for,"" Couris said. ""Our commitment is to design a system that creates a sustainable and reproducible way to drive up the quality of care and lower of cost. We want to pass this value on to the patients, the payors, and the employers, creating a less expensive delivery model for health care in our state."""
